"Vendor.Name","Sum(Line.Total)","Mean(Unit.Price)","Count(NIGP.Description)","Count*(Line.Total)","Risk_Level"
"METRO INSTALLATION SERVICES INC",156872.47999999998,1426.1134545454547,110,110,"Low Risk"
"MOMENTUM TEXTILES INC",66170.40000000001,40.19444444444444,54,54,"Low Risk"
"MOORE & GILES INC",197703.12,1.9349999999999998,8,8,"Low Risk"
"MORSE WATCHMAN'S INC",3108.6000000000004,14.129999999999999,4,4,"Low Risk"
"MOUNTAIN GEAR",2155.5,537.3333333333333,12,12,"Low Risk"
"MSC INDUSTRIAL SUPPLY CO",51679.91,92.56023076923077,286,286,"Low Risk"
"MTS PARTNERS INC",2772,173.25,8,8,"Low Risk"
"NIGHTINGALE CORP",1850614.7,328.7535812806539,734,734,"Medium Risk"
"NORMAN SHATZ CO USA",51950.5,42.67592592592591,54,54,"Low Risk"
"NORTHERN TOOL & EQUIPMENT CATALOG CO INC",0,9.99,2,2,"Low Risk"
"NORTHWEST SCREEN SYSTEMS CO",2275,227.5,2,2,"Low Risk"
"NOTT RECYCLING INC",0,100,2,2,"Low Risk"
"O'SHEA LUMBER COMPANY",216227.502,3.109098333333333,36,36,"Low Risk"
"OCUCO INC",65026.340000000004,2668.4699999999993,22,22,"Low Risk"
"OLD DOMINION ELECTRICAL SUPPLY",146.64,1.64,12,12,"Low Risk"
"ONE SOURCE SUPPLY",168430.52000000002,150.3769677419354,310,310,"Low Risk"
"ONESOURCE MARKETING INC",2945.34,187.95,8,8,"Low Risk"
"OPEN PLAN SYSTEMS",2949.84,331.74,6,6,"Low Risk"
"OPTICAL WORKS CORPORATION",10868.36,618.0600000000001,6,6,"Low Risk"
"ORAFOL AMERICAS INC",0,0.00334,2,2,"Low Risk"
"OTTO INTERNATIONAL INC",3741,4.35,4,4,"Low Risk"
"OUTWATER PLASTIC",4900,350,2,2,"Low Risk"
"PACKAGING PROS PLUS",18459.039999999997,217.80846153846153,26,26,"Low Risk"
"PAMCO MACHINE CO. INC.",19057.44,482.85062500000004,32,32,"Low Risk"
"PETTUS ENTERPRISE LLC",5426,2713,2,2,"Low Risk"
"PHOENIX METALS",1960291.1565399992,3.0692146073298385,764,764,"Medium Risk"
"PINEHURST TECHNOLOGIES INC",1393980,97.68749999999999,16,16,"Medium Risk"
"PORT PLASTICS INC",3928.32,2.046,2,2,"Low Risk"
"PORTIONPAC CHEMICAL COPORATION",1042444.1651599994,10.754867011494264,348,348,"Medium Risk"
"POWHATAN AUTO AND TRACTOR PARTS INC",667.08,20.285,4,4,"Low Risk"
"PRATT INDUSTRIES - VIRGINIA BOX",19022.292,0.6596666666666666,6,6,"Low Risk"
"PREMIER BIOTECH",1071639.7811599998,2.763988909090907,330,330,"Medium Risk"
"PREMIER LINEN SERVICES LLC",5968.8,1575,6,6,"Low Risk"
"PRIME AIR PRODUCTS COMPANY",33730,16865,2,2,"Low Risk"
"PRINTERS SERVICE",12065.119999999997,63.94222222222223,18,18,"Low Risk"
"PRIORITY ELEVATOR",3365.8999999999996,419.98333333333335,6,6,"Low Risk"
"PROGRESSIVE SERVICE DIE CO",23225.379999999997,164.09540000000007,100,100,"Low Risk"
"PRUDENTIAL CLEANROOM SERVICES",13407.860000000002,131.62555555555556,72,72,"Low Risk"
"PRUDENTIAL OVERALL SUPPLY",1491.2,110.60449999999999,12,12,"Low Risk"
"PURITAN INDUSTRIES",1004.5,18.6925,8,8,"Low Risk"
"QUALITY TOOL GRINDING INC",60,30,2,2,"Low Risk"
"QUARLES PETROLEUM INC",4.32,2.16,2,2,"Low Risk"
"R & H SYSTEMS INC",99435,1912.2115384615388,52,52,"Low Risk"
"RADWELL INTERNATIONAL",9556.980000000003,281.08764705882356,34,34,"Low Risk"
"RE REPLACEMENT PARTS",26349.439520000018,83.05603546666664,150,150,"Low Risk"
"REEDS SAW & TOOL",34924.340000000004,215.3096428571429,112,112,"Low Risk"
"REFLECTIVE APPAREL FACTORY",1870.9,47.28333333333333,12,12,"Low Risk"
"RICHARDSON PRECISION INC",12116.88,3029.22,4,4,"Low Risk"
"RICHELIEU AMERICA LTD",6732.799999999999,0.5249999999999999,8,8,"Low Risk"
"RICHELIEU HARDWARE",286431.29999999993,5.913815789473684,76,76,"Low Risk"
